title,rank,rating,popularity,members,types,episode,status,aired,premiered,producers,licensor,studio,source,genres,theme,demographic,duration,age,favorites
FLCL,543,8.03,217,766584,OVA,6,Finished Airing,"Apr 26, 2000 to Mar 16, 2001",nan,"['Starchild Records', 'GANSIS']",Funimation,Gainax,Original,"['Action', 'Avant Garde', 'Comedy', 'Sci-Fi']",nan,nan,25 min. per ep.,PG-13 - Teens 13 or older,28117

Higurashi no Naku Koro ni,754,7.89,218,765760,TV,26,Finished Airing,"Apr 5, 2006 to Sep 27, 2006",Spring 2006,"['Geneon Universal Entertainment', 'Frontier Works', 'Sotsu', 'DAX Production']",Sentai Filmworks,Studio Deen,novel,"['Horror', 'Mystery', 'Supernatural', 'Suspense']",nan,nan,24 min. per ep.,R - 17+ (violence & profanity),20424

"Komi-san wa, Comyushou desu.",632,7.96,219,765852,TV,12,Finished Airing,"Oct 7, 2021 to Dec 23, 2021",Fall 2021,"['TV Tokyo', 'Dentsu', 'Shogakukan-Shueisha Productions', 'Half H.P Studio', 'Nippon Columbia']",add some,OLM,Manga,[],nan,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,11472

Bungou Stray Dogs 2nd Season,346,8.20,220,765466,TV,12,Finished Airing,"Oct 6, 2016 to Dec 16, 2016",Fall 2016,"['Lantis', 'Movic', 'KlockWorx', 'Bandai Namco Live Creative', 'Glovision', 'Lawson HMV Entertainment', 'Sony PCL']",Funimation,Bones,Manga,"['Action', 'Mystery', 'Supernatural']",nan,Seinen,23 min. per ep.,R - 17+ (violence & profanity),6477

Dragon Ball Super,2010,7.42,221,764264,TV,131,Finished Airing,"Jul 5, 2015 to Mar 25, 2018",Summer 2015,"['Yomiko Advertising', 'Fuji TV']",Funimation,Toei Animation,Manga,"['Action', 'Adventure', 'Comedy', 'Fantasy']",nan,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,9620

Koutetsujou no Kabaneri,2738,7.26,222,763241,TV,12,Finished Airing,"Apr 8, 2016 to Jul 1, 2016",Spring 2016,"['Aniplex', 'Dentsu', 'Fuji TV', 'Kyoraku Industrial Holdings', 'Kansai Telecasting']",Funimation,Wit Studio,Original,"['Action', 'Drama', 'Fantasy', 'Horror']",nan,nan,22 min. per ep.,R - 17+ (violence & profanity),3354

Free!,2343,7.34,223,761594,TV,12,Finished Airing,"Jul 4, 2013 to Sep 26, 2013",Summer 2013,"['Lantis', 'Iwatobi High School Swimming Club', 'Asahi Broadcasting']",Funimation,Kyoto Animation,Original,[],School,nan,23 min. per ep.,PG-13 - Teens 13 or older,9367

High School DxD BorN,1974,7.43,224,756768,TV,12,Finished Airing,"Apr 4, 2015 to Jun 20, 2015",Spring 2015,"['Genco', 'Lantis', 'AT-X', 'Fujimi Shobo']",Funimation,TNK,novel,"['Action', 'Comedy', 'Romance', 'Ecchi']",nan,nan,24 min. per ep.,R+ - Mild Nudity,3831

Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,2882,7.24,225,754542,TV,12,Finished Airing,"Jul 4, 2015 to Sep 19, 2015",Summer 2015,"['Frontier Works', 'Shogakukan-Shueisha Productions', 'Genco', 'Starchild Records', 'AT-X', 'KlockWorx']",Funimation,J.C.Staff,novel,"['Comedy', 'Ecchi']",nan,nan,23 min. per ep.,R+ - Mild Nudity,3723

"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",1163,7.69,226,753354,TV,12,Finished Airing,"Jul 4, 2015 to Sep 19, 2015",Summer 2015,"['Genco', 'Magic Capsule', 'Warner Bros. Japan', 'KlockWorx', 'Showgate', 'Bandai Namco Games']",Sentai Filmworks,A-1 Pictures,novel,"['Action', 'Adventure', 'Fantasy']",nan,nan,23 min. per ep.,R - 17+ (violence & profanity),5899

Toki wo Kakeru Shoujo,437,8.12,227,751154,Movie,1,Finished Airing,"Jul 15, 2006",nan,"['Kadokawa Shoten', 'Bandai', 'Memory-Tech', 'Happinet Pictures']",Funimation,Madhouse,Novel,"['Award Winning', 'Drama', 'Romance', 'Sci-Fi']",nan,nan,1 hr. 39 min.,G - All Ages,5694

Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,2933,7.23,228,747294,TV,12,Finished Airing,"Jul 13, 2019 to Sep 28, 2019",Summer 2019,"['Genco', 'Movic', 'Warner Bros. Japan', 'KlockWorx', 'SoftBank Creative', 'Hakuhodo DY Music & Pictures', 'Egg Firm', 'FuRyu', 'GREE']",Sentai Filmworks,J.C.Staff,novel,"['Action', 'Adventure', 'Fantasy']",nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,1987

InuYasha,789,7.86,229,746863,TV,167,Finished Airing,"Oct 16, 2000 to Sep 13, 2004",Fall 2000,"['Yomiuri Telecasting', 'Shogakukan']",VIZ Media,Sunrise,Manga,"['Action', 'Adventure', 'Fantasy', 'Romance']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,17442

Shinsekai yori,244,8.29,231,742916,TV,25,Finished Airing,"Sep 29, 2012 to Mar 23, 2013",Fall 2012,"['Aniplex', 'TV Asahi', 'Pony Canyon']",Sentai Filmworks,A-1 Pictures,Novel,"['Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Supernatural']",Psychological,nan,22 min. per ep.,R - 17+ (violence & profanity),21565

Fruits Basket 1st Season,312,8.22,232,738483,TV,25,Finished Airing,"Apr 6, 2019 to Sep 21, 2019",Spring 2019,"['TV Tokyo', 'TV Osaka', 'Nihon Ad Systems', 'Hakusensha', 'Avex Pictures', 'TMS Music', '8PAN']",Funimation,TMS Entertainment,Manga,"['Drama', 'Romance', 'Supernatural']",nan,Shoujo,23 min. per ep.,PG-13 - Teens 13 or older,14313

Owari no Seraph: Nagoya Kessen-hen,1352,7.62,233,736842,TV,12,Finished Airing,"Oct 10, 2015 to Dec 26, 2015",Fall 2015,"['NBCUniversal Entertainment Japan', 'Shueisha']",Funimation,Wit Studio,Manga,"['Action', 'Drama', 'Supernatural']",nan,Shounen,23 min. per ep.,R - 17+ (violence & profanity),2857

Yamada-kun to 7-nin no Majo,1533,7.56,234,736231,TV,12,Finished Airing,"Apr 12, 2015 to Jun 28, 2015",Spring 2015,"['Dentsu', 'Frontier Works', 'Kodansha', 'Rakuonsha', 'Ultra Super Pictures', 'Memory-Tech', 'Daiichikosho', 'Lawson HMV Entertainment', 'Amuse', 'Animatic', 'A-Sketch']",Funimation,LIDENFILMS,Manga,"['Comedy', 'Mystery', 'Romance', 'Supernatural']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,3950

K,1960,7.44,235,727745,TV,13,Finished Airing,"Oct 5, 2012 to Dec 28, 2012",Fall 2012,"['Starchild Records', 'Mainichi Broadcasting System', 'KlockWorx']",VIZ Media,GoHands,Original,"['Action', 'Mystery', 'Supernatural']",Super Power,nan,24 min. per ep.,PG-13 - Teens 13 or older,6567

Haikyuu!! To the Top Part 2,98,8.55,236,723639,TV,12,Finished Airing,"Oct 3, 2020 to Dec 19, 2020",Fall 2020,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",Sentai Filmworks,Production I.G,Manga,[],nan,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,5782

Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,48,8.71,237,723840,TV,12,Finished Airing,"Oct 4, 2021 to Dec 20, 2021",Fall 2021,"['Frontier Works', 'TOHO animation', 'Tokyo MX', 'Hakuhodo DY Music & Pictures', 'BS11', 'Egg Firm', 'Kadokawa', 'GREE Entertainment']",Funimation,Studio Bind,novel,"['Drama', 'Fantasy', 'Ecchi']",nan,nan,23 min. per ep.,R - 17+ (violence & profanity),16187

Sakamoto desu ga?,1505,7.56,238,722503,TV,12,Finished Airing,"Apr 8, 2016 to Jul 1, 2016",Spring 2016,"['Kadokawa Shoten', 'TBS', 'DAX Production', 'Daiichikosho', 'King Records', 'NichiNare']",Sentai Filmworks,Studio Deen,Manga,[],nan,Seinen,24 min. per ep.,PG-13 - Teens 13 or older,2505

"Ijiranaide, Nagatoro-san",2410,7.33,239,716557,TV,12,Finished Airing,"Apr 11, 2021 to Jun 27, 2021",Spring 2021,"['TMS Entertainment', 'Mainichi Broadcasting System', 'Kodansha', 'King Records']",add some,Telecom Animation Film,Manga,[],nan,nan,23 min. per ep.,PG-13 - Teens 13 or older,8453

Kakegurui xx,3118,7.20,240,716010,TV,12,Finished Airing,"Jan 9, 2019 to Mar 27, 2019",Winter 2019,"['Dentsu', 'Square Enix', 'Mainichi Broadcasting System', 'Movic', 'KlockWorx', 'flying DOG', '81 Produce', 'Avex Pictures']",Sentai Filmworks,MAPPA,Manga,"['Drama', 'Mystery']",nan,Shounen,24 min. per ep.,R - 17+ (violence & profanity),1923

Ao no Exorcist: Kyoto Fujouou-hen,2255,7.36,241,711411,TV,12,Finished Airing,"Jan 7, 2017 to Mar 25, 2017",Winter 2017,"['Aniplex', 'Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Shueisha']",Aniplex of America,A-1 Pictures,Manga,"['Action', 'Fantasy']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,1548

Kuroko no Basket 3rd Season,240,8.30,242,708437,TV,25,Finished Airing,"Jan 11, 2015 to Jun 30, 2015",Winter 2015,"['Bandai Visual', 'Lantis', 'Nihon Ad Systems', 'Banpresto', 'Shueisha', 'BS11']",add some,Production I.G,Manga,[],nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,4988

Monster Musume no Iru Nichijou,4158,6.98,243,707655,TV,12,Finished Airing,"Jul 8, 2015 to Sep 23, 2015",Summer 2015,"['Genco', 'Studio Hibari', 'TOHO animation', 'Toho Music']",Sentai Filmworks,Lerche,Manga,"['Comedy', 'Fantasy', 'Romance', 'Ecchi']",nan,Seinen,23 min. per ep.,R+ - Mild Nudity,3817

Grand Blue,159,8.43,244,701291,TV,12,Finished Airing,"Jul 14, 2018 to Sep 29, 2018",Summer 2018,"['Mainichi Broadcasting System', 'Kodansha', 'NBCUniversal Entertainment Japan', 'Avex Pictures', 'Q-Tec', 'JR East Marketing & Communications', 'GYAO!']",add some,Zero-G,Manga,[],Adult Cast,Seinen,24 min. per ep.,PG-13 - Teens 13 or older,17730

Nisemonogatari,398,8.15,245,699858,TV,11,Finished Airing,"Jan 8, 2012 to Mar 18, 2012",Winter 2012,"['Aniplex', 'Kodansha', 'Rakuonsha']",Aniplex of America,Shaft,novel,"['Comedy', 'Mystery', 'Supernatural', 'Ecchi']",nan,nan,25 min. per ep.,R - 17+ (violence & profanity),3834

Trigun,330,8.21,246,699457,TV,26,Finished Airing,"Apr 1, 1998 to Sep 30, 1998",Spring 1998,['Victor Entertainment'],Funimation,Madhouse,Manga,"['Action', 'Adventure', 'Sci-Fi']",Adult Cast,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,14232

Chuunibyou demo Koi ga Shitai! Ren,1560,7.55,247,698893,TV,12,Finished Airing,"Jan 9, 2014 to Mar 27, 2014",Winter 2014,"['Lantis', 'TBS']",Sentai Filmworks,Kyoto Animation,novel,"['Comedy', 'Romance']",School,nan,24 min. per ep.,PG-13 - Teens 13 or older,2474

"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",2173,7.38,248,696720,TV,13,Finished Airing,"Jul 4, 2020 to Sep 26, 2020",Summer 2020,"['Aniplex', 'Movic', 'AT-X', 'Studio Mausu', 'Tokyo MX', 'Q-Tec', 'Docomo Anime Store', 'Medicos Entertainment', 'BS11', 'Contents Seed', 'Kadokawa', 'ADK Marketing Solutions']",Aniplex of America,SILVER LINK.,novel,"['Action', 'Fantasy']",nan,nan,23 min. per ep.,R - 17+ (violence & profanity),5540

Kiznaiver,2168,7.38,249,696252,TV,12,Finished Airing,"Apr 9, 2016 to Jun 25, 2016",Spring 2016,"['Aniplex', 'Movic', 'Ultra Super Pictures', 'Sammy', 'Asahi Broadcasting', 'BS11', 'Crunchyroll']",Aniplex of America,Trigger,Original,"['Drama', 'Romance', 'Sci-Fi']",nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,4776

Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,138,8.46,250,693406,Movie,1,Finished Airing,"Aug 30, 2019",nan,"['Nippon Columbia', 'Toranoana', 'MAGES.', '81 Produce', 'Sammy', 'Kadokawa Media House', 'Kadokawa', 'Sony Music Solutions']",add some,J.C.Staff,novel,"['Adventure', 'Comedy', 'Fantasy']",nan,nan,1 hr. 30 min.,PG-13 - Teens 13 or older,4536

Boku no Hero Academia the Movie 1: Futari no Hero,1471,7.57,251,691100,Movie,1,Finished Airing,"Aug 3, 2018",nan,"['TOHO animation', 'Shueisha', 'Toho Music']",Funimation,Bones,Manga,[],Super Power,Shounen,1 hr. 36 min.,PG-13 - Teens 13 or older,1357

Serial Experiments Lain,484,8.08,252,689501,TV,13,Finished Airing,"Jul 6, 1998 to Sep 28, 1998",Summer 1998,"['TV Tokyo', 'Geneon Universal Entertainment', 'Genco', 'Pioneer LDC', 'TV Tokyo Music', 'Fujipacific Music']",Funimation,Triangle Staff,Original,"['Avant Garde', 'Award Winning', 'Drama', 'Mystery', 'Sci-Fi', 'Supernatural']",Psychological,nan,23 min. per ep.,R - 17+ (violence & profanity),24356

Sword Art Online: Alicization - War of Underworld,1443,7.58,253,689088,TV,12,Finished Airing,"Oct 13, 2019 to Dec 29, 2019",Fall 2019,"['Aniplex', 'Bandai Namco Entertainment', 'Egg Firm', 'Straight Edge', 'Kadokawa', 'Sonilude']",Aniplex of America,A-1 Pictures,novel,"['Action', 'Adventure', 'Fantasy']",Video Game,nan,23 min. per ep.,R - 17+ (violence & profanity),3460

Accel World,2922,7.23,254,688348,TV,24,Finished Airing,"Apr 7, 2012 to Sep 22, 2012",Spring 2012,"['Genco', 'Rakuonsha', 'Warner Bros. Japan', 'flying DOG', 'ASCII Media Works']",VIZ Media,Sunrise,novel,"['Action', 'Romance', 'Sci-Fi']",nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,3856

NHK ni Youkoso!,231,8.31,255,688310,TV,24,Finished Airing,"Jul 10, 2006 to Dec 18, 2006",Summer 2006,"['NHK', 'Victor Entertainment']",ADV Films,Gonzo,Novel,"['Comedy', 'Drama', 'Romance']",nan,nan,24 min. per ep.,R+ - Mild Nudity,24762

Hai to Gensou no Grimgar,1259,7.65,256,685626,TV,12,Finished Airing,"Jan 11, 2016 to Mar 28, 2016",Winter 2016,['TOHO animation'],Funimation,A-1 Pictures,novel,"['Action', 'Adventure', 'Drama', 'Fantasy']",Isekai,nan,24 min. per ep.,R - 17+ (violence & profanity),5830

Wonder Egg Priority,1248,7.66,257,684931,TV,12,Finished Airing,"Jan 13, 2021 to Mar 31, 2021",Winter 2021,"['Aniplex', 'D.N. Dream Partners']",Funimation,CloverWorks,Original,"['Drama', 'Fantasy']",Psychological,nan,23 min. per ep.,R - 17+ (violence & profanity),8591

Domestic na Kanojo,5595,6.68,258,684634,TV,12,Finished Airing,"Jan 12, 2019 to Mar 30, 2019",Winter 2019,"['Mainichi Broadcasting System', 'Kodansha', 'flying DOG', 'DMM pictures', 'Bit Promotion']",Sentai Filmworks,Diomedea,Manga,"['Drama', 'Romance']",nan,Shounen,25 min. per ep.,R+ - Mild Nudity,5479

Sword Art Online Movie: Ordinal Scale,1495,7.57,259,682130,Movie,1,Finished Airing,"Feb 18, 2017",nan,"['Aniplex', 'Genco', 'ASCII Media Works', 'Bandai Namco Entertainment', 'Egg Firm']",Aniplex of America,A-1 Pictures,Original,"['Action', 'Adventure', 'Fantasy']",Video Game,nan,1 hr. 59 min.,R+ - Mild Nudity,3393

Enen no Shouboutai: Ni no Shou,909,7.80,260,681699,TV,24,Finished Airing,"Jul 4, 2020 to Dec 12, 2020",Summer 2020,"['Mainichi Broadcasting System', 'Kodansha', 'bilibili', 'DMM pictures', 'DMM Music']",Funimation,David Production,Manga,"['Action', 'Supernatural']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,2613

Tsurezure Children,1482,7.57,261,680912,TV,12,Finished Airing,"Jul 4, 2017 to Sep 19, 2017",Summer 2017,"['Nihon Ad Systems', 'Kodansha', 'Movic', 'KlockWorx', 'Sony Music Entertainment', 'King Records', 'BS11', 'Animatic', 'Marui Group']",Funimation,Studio Gokumi,manga,"['Comedy', 'Romance']",School,Shounen,12 min. per ep.,PG-13 - Teens 13 or older,2610

Eromanga-sensei,7414,6.37,262,680172,TV,12,Finished Airing,"Apr 9, 2017 to Jun 25, 2017",Spring 2017,"['Aniplex', 'Movic', 'ASCII Media Works', 'BS11', 'Kinoshita Group Holdings']",Aniplex of America,A-1 Pictures,novel,"['Comedy', 'Drama', 'Romance', 'Ecchi']",nan,nan,23 min. per ep.,PG-13 - Teens 13 or older,2674

Hellsing,1750,7.49,263,679297,TV,13,Finished Airing,"Oct 11, 2001 to Jan 17, 2002",Fall 2001,"['Fuji TV', 'Pioneer LDC']",Funimation,Gonzo,Manga,"['Action', 'Horror', 'Supernatural']",nan,Seinen,23 min. per ep.,R - 17+ (violence & profanity),5758

Nanatsu no Taizai: Seisen no Shirushi,4107,6.99,264,674220,TV,4,Finished Airing,"Aug 28, 2016 to Sep 18, 2016",Summer 2016,"['Aniplex', 'Dentsu', 'Kodansha', 'Movic']",add some,A-1 Pictures,Manga,"['Action', 'Adventure', 'Fantasy']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,783

Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,622,7.97,265,673087,TV,12,Finished Airing,"Apr 9, 2018 to Jun 25, 2018",Spring 2018,['Shueisha'],Sentai Filmworks,J.C.Staff,Manga,"['Gourmet', 'Ecchi']",School,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,1397

Rokudenashi Majutsu Koushi to Akashic Records,3394,7.14,266,671988,TV,12,Finished Airing,"Apr 4, 2017 to Jun 20, 2017",Spring 2017,"['Media Factory', 'AT-X', 'Kadokawa Pictures Japan', 'Ultra Super Pictures', 'Tohokushinsha Film Corporation', 'Sony Music Communications', 'Fujimi Shobo', 'Kanetsu Investment']",Funimation,LIDENFILMS,novel,"['Action', 'Fantasy']",School,nan,24 min. per ep.,R - 17+ (violence & profanity),3128

Nanatsu no Taizai: Kamigami no Gekirin,6907,6.45,267,670859,TV,24,Finished Airing,"Oct 9, 2019 to Mar 25, 2020",Fall 2019,"['TV Tokyo', 'VAP', 'Dentsu', 'Kodansha', 'Movic', 'Sammy']",add some,Studio Deen,Manga,"['Action', 'Adventure', 'Fantasy']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,1349

91 Days,846,7.83,268,666466,TV,12,Finished Airing,"Jul 9, 2016 to Oct 1, 2016",Summer 2016,"['Shochiku', 'Mainichi Broadcasting System', 'Shochiku Music Publishing']",Funimation,Shuka,Original,"['Action', 'Drama']",nan,nan,24 min. per ep.,R - 17+ (violence & profanity),7526

Isekai Maou to Shoukan Shoujo no Dorei Majutsu,4675,6.87,269,666072,TV,12,Finished Airing,"Jul 5, 2018 to Sep 20, 2018",Summer 2018,"['Sotsu', 'Kodansha', 'Half H.P Studio', 'AT-X', 'KlockWorx', 'DIVE II Entertainment', '81 Produce', 'Tokyo MX', 'Avex Pictures', 'Q-Tec', 'Animatic', 'Eswood']",Funimation,Ajia-Do,novel,"['Comedy', 'Fantasy', 'Ecchi']",nan,nan,23 min. per ep.,PG-13 - Teens 13 or older,2431

Tate no Yuusha no Nariagari Season 2,6301,6.56,270,663087,TV,13,Finished Airing,"Apr 6, 2022 to Jun 29, 2022",Spring 2022,"['Frontier Works', 'AT-X', 'Nippon Columbia', 'Glovision', 'Good Smile Company', 'Sammy', 'Crunchyroll', 'Kadokawa Media House', 'NTT Plala', 'Kadokawa']",add some,Kinema Citrus,novel,"['Action', 'Adventure', 'Drama', 'Fantasy']",Isekai,nan,23 min. per ep.,PG-13 - Teens 13 or older,12379

D.Gray-man,553,8.02,271,662789,TV,103,Finished Airing,"Oct 3, 2006 to Sep 30, 2008",Fall 2006,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Half H.P Studio', 'Sony Music Entertainment', 'Studio Jack']",Funimation,TMS Entertainment,Manga,"['Action', 'Adventure', 'Comedy']",nan,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,13475

Ore no Imouto ga Konnani Kawaii Wake ga Nai,4162,6.98,272,659556,TV,12,Finished Airing,"Oct 3, 2010 to Dec 19, 2010",Fall 2010,"['Aniplex', 'AIC', 'Movic', 'ASCII Media Works', 'Jumondo']",Aniplex of America,AIC Build,novel,[],Otaku Culture,nan,24 min. per ep.,PG-13 - Teens 13 or older,4402

Nisekoi:,2293,7.35,273,657724,TV,12,Finished Airing,"Apr 10, 2015 to Jun 26, 2015",Spring 2015,"['Aniplex', 'Shueisha']",Aniplex of America,Shaft,Manga,"['Comedy', 'Romance']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,1796

Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,189,8.37,274,657484,TV,12,Finished Airing,"Jul 10, 2020 to Sep 25, 2020",Summer 2020,"['Marvelous', 'TBS', 'Movic', 'Delfi Sound', 'NBCUniversal Entertainment Japan']",Sentai Filmworks,feel.,novel,"['Comedy', 'Romance']",nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,13225

Blood Lad,2769,7.26,275,657021,TV,10,Finished Airing,"Jul 8, 2013 to Sep 9, 2013",Summer 2013,"['Kadokawa Shoten', 'KlockWorx', 'flying DOG']",VIZ Media,Brain's Base,Manga,"['Action', 'Comedy', 'Supernatural']",nan,Seinen,24 min. per ep.,PG-13 - Teens 13 or older,2001

Rosario to Vampire,5202,6.76,276,653817,TV,13,Finished Airing,"Jan 3, 2008 to Mar 27, 2008",Winter 2008,"['GDH', 'Yomiko Advertising', 'Happinet Pictures', 'Atelier Musa', 'Shueisha', 'Sotsu Music Publishing', 'Imagine']",Funimation,Gonzo,Manga,"['Comedy', 'Fantasy', 'Romance', 'Ecchi']",nan,Shounen,25 min. per ep.,R+ - Mild Nudity,3372

Himouto! Umaru-chan,3491,7.12,277,652902,TV,12,Finished Airing,"Jul 9, 2015 to Sep 24, 2015",Summer 2015,"['AT-X', 'TOHO animation', 'Good Smile Company', 'Shueisha', 'BS11', 'Jinnan Studio', 'RAY']",Sentai Filmworks,Doga Kobo,Manga,[],nan,Seinen,24 min. per ep.,PG-13 - Teens 13 or older,4349

Spy x Family Part 2,195,8.37,278,652442,TV,13,Finished Airing,"Oct 1, 2022 to Dec 24, 2022",Fall 2022,"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'TOHO animation', 'Shueisha']",add some,Wit Studio,Manga,"['Action', 'Comedy']",Childcare,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,6122

K-On!!,380,8.17,279,652195,TV,26,Finished Airing,"Apr 7, 2010 to Sep 29, 2010",Spring 2010,"['Pony Canyon', 'TBS', 'Movic', 'Rakuonsha', 'Animation Do']",Sentai Filmworks,Kyoto Animation,manga,"['Award Winning', 'Comedy']",nan,nan,24 min. per ep.,PG-13 - Teens 13 or older,14079

Tonikaku Kawaii,721,7.90,280,651561,TV,12,Finished Airing,"Oct 3, 2020 to Dec 19, 2020",Fall 2020,"['Shogakukan-Shueisha Productions', 'Warner Bros. Japan', 'KlockWorx', 'Shogakukan', 'Crunchyroll SC Anime Fund']",Crunchyroll,Seven Arcs,Manga,"['Comedy', 'Romance']",nan,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,9464

Kuzu no Honkai,3296,7.16,281,640626,TV,12,Finished Airing,"Jan 13, 2017 to Mar 31, 2017",Winter 2017,"['Aniplex', 'Dentsu', 'Square Enix', 'Studio Hibari', 'Fuji TV', 'Kyoraku Industrial Holdings', 'Kansai Telecasting']",Sentai Filmworks,Lerche,Manga,"['Drama', 'Romance']",nan,Seinen,22 min. per ep.,R+ - Mild Nudity,6119

Claymore,1040,7.74,282,639229,TV,26,Finished Airing,"Apr 4, 2007 to Sep 26, 2007",Spring 2007,"['VAP', 'Avex Entertainment', 'Nippon Television Network', 'D.N. Dream Partners']",Funimation,Madhouse,Manga,"['Action', 'Adventure', 'Fantasy']",nan,Shounen,23 min. per ep.,R+ - Mild Nudity,8122

Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,80,8.61,283,638774,Movie,1,Finished Airing,"Jun 15, 2019",nan,"['Aniplex', 'Tokyo MX', 'Hakuhodo DY Music & Pictures', 'Nagoya Broadcasting Network', 'BS11', 'ABC Animation', 'Kadokawa']",Aniplex of America,CloverWorks,novel,"['Drama', 'Romance', 'Supernatural']",School,nan,1 hr. 30 min.,PG-13 - Teens 13 or older,9671

3-gatsu no Lion,176,8.39,284,637463,TV,22,Finished Airing,"Oct 8, 2016 to Mar 18, 2017",Fall 2016,"['Aniplex', 'Dentsu', 'NHK', 'Hakusensha', 'Asmik Ace', ""Toy's Factory""]",Aniplex of America,Shaft,Manga,"['Drama', 'Slice of Life']",nan,Seinen,25 min. per ep.,PG-13 - Teens 13 or older,14844

Shinmai Maou no Testament,5392,6.72,285,637391,TV,12,Finished Airing,"Jan 8, 2015 to Mar 26, 2015",Winter 2015,"['Kadokawa Shoten', 'AT-X', 'Nippon Columbia', 'Kadokawa Pictures Japan', 'KlockWorx', 'Mobcast']",Funimation,Production IMS,novel,"['Action', 'Fantasy', 'Romance', 'Ecchi']",nan,nan,23 min. per ep.,R+ - Mild Nudity,1938

Tensei shitara Slime Datta Ken 2nd Season Part 2,229,8.32,286,636767,TV,12,Finished Airing,"Jul 6, 2021 to Sep 21, 2021",Summer 2021,"['Kodansha', 'BS11', 'Bandai Namco Arts', 'Micro Magazine Publishing', 'Bandai Spirits', 'Sony Music Solutions', 'ADK Marketing Solutions']",add some,8bit,Manga,"['Action', 'Adventure', 'Comedy', 'Fantasy']",nan,nan,23 min. per ep.,PG-13 - Teens 13 or older,10139

Yuu Yuu Hakusho,145,8.45,287,636632,TV,112,Finished Airing,"Oct 10, 1992 to Jan 7, 1995",Fall 1992,"['Yomiko Advertising', 'Fuji TV']",Funimation,Pierrot,Manga,"['Action', 'Comedy', 'Supernatural']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,21129

5-toubun no Hanayome 2,470,8.09,288,635190,TV,12,Finished Airing,"Jan 8, 2021 to Mar 26, 2021",Winter 2021,"['Pony Canyon', 'Kodansha', 'DAX Production', 'BS11', 'Nichion', 'GYAO!', 'Good Smile Film', 'MAGNET']",add some,Bibury Animation Studios,Manga,"['Comedy', 'Romance']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,11155

Monogatari Series: Second Season,36,8.77,289,634933,TV,26,Finished Airing,"Jul 7, 2013 to Dec 29, 2013",Summer 2013,"['Aniplex', 'Kodansha', 'Cyclone Graphics']",Aniplex of America,Shaft,novel,"['Comedy', 'Mystery', 'Romance', 'Supernatural']",Vampire,nan,25 min. per ep.,R - 17+ (violence & profanity),22843

86,263,8.27,290,634914,TV,11,Finished Airing,"Apr 11, 2021 to Jun 20, 2021",Spring 2021,"['Aniplex', 'Kadokawa', 'Bandai Spirits']",add some,A-1 Pictures,novel,"['Action', 'Drama', 'Sci-Fi']",nan,nan,23 min. per ep.,R - 17+ (violence & profanity),15210

School Days,11528,5.53,291,632415,TV,12,Finished Airing,"Jul 4, 2007 to Sep 27, 2007",Summer 2007,"['Avex Entertainment', 'Marvelous', 'Lantis', 'Pony Canyon']",Discotek Media,TNK,novel,"['Drama', 'Romance']",nan,nan,24 min. per ep.,R+ - Mild Nudity,3108

