title,rank,rating,popularity,members,types,episode,status,aired,premiered,producers,licensor,studio,source,genres,theme,demographic,duration,age,favorites
Bleach,722,7.90,40,1797637,TV,366,Finished Airing,"Oct 5, 2004 to Mar 27, 2012",Fall 2004,"['TV Tokyo', 'Aniplex', 'Dentsu', 'TV Tokyo Music', 'Studio Kelmadick', 'Shueisha']",VIZ Media,Pierrot,Manga,"['Action', 'Adventure', 'Fantasy']",nan,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,66262

Shingeki no Kyojin: The Final Season,30,8.81,41,1760310,TV,16,Finished Airing,"Dec 7, 2020 to Mar 29, 2021",Winter 2021,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise']",Funimation,MAPPA,Manga,"['Action', 'Drama']",nan,Shounen,23 min. per ep.,R - 17+ (violence & profanity),50724

Kiseijuu: Sei no Kakuritsu,208,8.34,42,1732776,TV,24,Finished Airing,"Oct 9, 2014 to Mar 26, 2015",Fall 2014,"['VAP', 'Kodansha', 'Nippon Television Network', 'Forecast Communications']",Sentai Filmworks,Madhouse,Manga,"['Action', 'Horror', 'Sci-Fi']",nan,Seinen,23 min. per ep.,R - 17+ (violence & profanity),32799

Cowboy Bebop,39,8.75,43,1717840,TV,26,Finished Airing,"Apr 3, 1998 to Apr 24, 1999",Spring 1998,['Bandai Visual'],Funimation,Sunrise,Original,"['Action', 'Award Winning', 'Sci-Fi']",nan,nan,24 min. per ep.,R - 17+ (violence & profanity),76157

Sen to Chihiro no Kamikakushi,34,8.78,44,1707037,Movie,1,Finished Airing,"Jul 20, 2001",nan,['Toho'],Disney Platform Distribution,Studio Ghibli,Original,"['Adventure', 'Award Winning', 'Supernatural']",Mythology,nan,2 hr. 4 min.,PG - Children,30153

Tokyo Ghoul A,3957,7.03,45,1669214,TV,12,Finished Airing,"Jan 9, 2015 to Mar 27, 2015",Winter 2015,"['Marvelous AQL', 'Shueisha']",Funimation,Pierrot,Manga,"['Action', 'Fantasy', 'Horror']",nan,Seinen,24 min. per ep.,R - 17+ (violence & profanity),10242

